"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"198335","40.74426449","-73.98042563","15","pin oak","Good"
"197454","40.74357702","-73.9807123","4","honeylocust","Good"
"175539","40.72817512","-73.97886165","12","ginkgo","Poor"
"206483","40.73993891","-73.98196044","10","ginkgo","Good"
"175543","40.7284325","-73.97867495","12","ginkgo","Good"
"206484","40.73991127","-73.98189476","13","ginkgo","Poor"
"175544","40.72850291","-73.97862388","2","ginkgo","Good"
"198334","40.74429703","-73.980503","9","pin oak","Fair"
"177230","40.73655558","-73.97892756","16","pin oak","Good"
"208642","40.76310665","-73.98820613","4",,
"205164","40.73792599","-73.97758097","3","Japanese zelkova","Good"
"208645","40.76292854","-73.98778291","6",,
"160749","40.73053656","-73.98612566","13","Japanese zelkova","Good"
"177229","40.73640176","-73.97903909","5","pin oak","Good"
"173660","40.73656785","-74.00368752","16","red maple","Poor"
"204950","40.73625863","-73.97518723","0",,
"171577","40.72739078","-73.97518559","3","pin oak","Good"
"198990","40.76196038","-73.98714088","2",,
"206578","40.73873535","-73.98074702","4","pin oak","Good"
"171578","40.72732958","-73.97504043","5",,
"198333","40.74436464","-73.98066375","0",,
"211688","40.72970427","-74.00421652","7","Japanese zelkova","Good"
"171582","40.726892","-73.9740025","3","pin oak","Good"
"211689","40.729685","-74.00427789","7",,
"160784","40.72893866","-73.97915741","11","northern red oak","Good"
"173658","40.73636819","-74.00363122","14","red maple","Good"
"177231","40.73662528","-73.97887703","2","pin oak","Good"
"208640","40.76318108","-73.988383","3","Japanese zelkova","Good"
"206431","40.73839561","-73.97992413","7","Japanese zelkova","Poor"
"208466","40.76387244","-73.98851318","4","Japanese zelkova","Good"
"171579","40.72714611","-73.97460525","4","English oak","Good"
"171663","40.72745211","-73.97649755","9","pin oak","Good"
"195531","40.73514179","-74.00011701","18","Sophora","Good"
"182370","40.7467481","-73.99590873","8","honeylocust","Good"
"174221","40.75378202","-73.96413825","13","ginkgo","Poor"
"205165","40.73787788","-73.97761646","3","Japanese zelkova","Good"
"206433","40.73846881","-73.98010059","8","Japanese zelkova","Good"
"202089","40.72721354","-73.99134246","12","Chinese elm","Poor"
"206701","40.73940964","-73.97881747","8","American linden","Good"
"194706","40.73764782","-74.00145902","9","pin oak","Fair"
"174199","40.74965085","-73.969363","10","cherry","Fair"
"208652","40.76255638","-73.98689857","3","cherry","Good"
"175541","40.72828687","-73.97878059","11","ginkgo","Good"
"197451","40.74341879","-73.98033785","14","honeylocust","Fair"
"173661","40.73671653","-74.00372944","3",,
"206426","40.7382638","-73.97942137","11","honeylocust","Good"
"206428","40.73831882","-73.97957384","8","honeylocust","Good"
"206371","40.73868985","-73.98089163","4","honeylocust","Good"
"206372","40.73872273","-73.98096999","10","ginkgo","Good"
"206379","40.73922333","-73.9821631","10","honeylocust","Good"
"175540","40.72823063","-73.97882138","10","ginkgo","Fair"
"202108","40.72592106","-73.98708617","3",,
"171623","40.72794529","-73.97589493","10","honeylocust","Fair"
"176448","40.73908694","-73.97773148","8","green ash","Good"
"206373","40.73883966","-73.98124867","2","American linden","Good"
"206377","40.73913132","-73.98194381","7","honeylocust","Good"
"171622","40.72785545","-73.97596021","3","honeylocust","Good"
"174274","40.75347641","-73.967024","8","green ash","Good"
"206698","40.73960451","-73.97928443","8","honeylocust","Good"
"206427","40.73829652","-73.9795023","7","honeylocust","Good"
"171624","40.72804017","-73.97582598","3","honeylocust","Good"
"202047","40.72726708","-73.99026683","14","ginkgo","Poor"
"206764","40.73782503","-73.97799906","8","ginkgo","Fair"
"206507","40.73896089","-73.97964232","7","honeylocust","Good"
"192500","40.73524905","-74.0009192","8","green ash","Good"
"173634","40.73607823","-74.00383851","21","green ash","Good"
"197452","40.7435181","-73.98057287","15","honeylocust","Fair"
"206374","40.73893405","-73.98147364","2","American linden","Good"
"206378","40.73918356","-73.9820683","11","honeylocust","Good"
"206485","40.73965217","-73.98127903","4","ginkgo","Good"
"206369","40.73860819","-73.98069699","4","honeylocust","Good"
"206486","40.73960221","-73.98116031","11","honeylocust","Good"
