"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","category","nearest_add","on_street","from_street","to_street","side_of_st","installation_date","asset_id","asset_subtype","latitude","longitude","siteid","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.89389032564941 40.740125190652954)","4","Queens","402","26","30","12","6",,"70-01 Queens Boulevard","Queens Boulevard","74 Street","70 Street","N","2016-12-09T00:00:00.000","Color: Silver (BL1-2016-2331)","BACKLESS 1.0","40.74013346","-73.89389174","SEAT.2016.0200","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98585655481659 40.7725847310233)","1","Manhattan","107","6","67","47","12",,"155 W 62 Street","Amsterdam Avenue","W 62 Street","W 65 Street","E","2024-11-06T00:00:00.000","Color: Leaning Bar ()","LEANING BAR","40.772593","-73.985858","SEAT.2024.0276","Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.03394354836527 40.612652764584986)","3","Brooklyn","310","47","46","26","11",,"10006 4 Avenue","4 Avenue","100 Street","101 Street","W","2025-09-22T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.612661","-74.033945","SEAT.2025.0583","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98854307802594 40.666321156320905)","3","Brooklyn","306","39","44","26","10",,"527 5 Avenue","5 Avenue","14 Street","13 Street","E","2013-01-01T00:00:00.000","Color: Silver ()","BACKLESS 1.0","40.6663294","-73.98854452","SEAT.2013.0045","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8317196038593 40.762683728092966)","4","Queens","407","20","40","16","6",,"36-22 Main Street","Main Street","37 Avenue","Northern Boulevard","E","2023-08-22T00:00:00.000","Color: Black (BL2-2023-1469)","BACKLESS 2.0","40.762692","-73.831721","SEAT.2023.0665","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.80209761708073 40.70180073905145)","4","Queens","412","27","32","14","5",,"14723 Archer Ave","Archer Avenue","158 Street","160 Street","S","2024-06-19T00:00:00.000","Color: Leaning Bar (LB-EMP2023-0013)","LEANING BAR","40.701809","-73.802099","SEAT.2024.0390","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8282316054119 40.75877672806362)","4","Queens","407","20","40","16","6",,"Parking lot, 136-16 41 Avenue","41 Avenue","Kissena Boulevard","Union Street","S","2025-11-25T00:00:00.000","Color: Black ()","BACKED 2.0","40.758785","-73.828233","SEAT.2025.0412","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90109957666046 40.85042971259646)","2","Bronx","205","15","86","32","15",,"303 E Burnside Avenue","E Burnside Avenue","Ryer Avenue","Valentine Avenue","S","2023-09-27T00:00:00.000","Color: Black (BL2-2023-1462)","BACKLESS 2.0","40.850438","-73.901101","SEAT.2023.0741","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98754156339582 40.62227376084238)","3","Brooklyn","312","44","48","22","9",,"1773 60 Street","60 Street","18 Avenue","17 Avenue","N","2023-08-07T00:00:00.000","Color: Silver (BL2-2023-1951)","BACKLESS 2.0","40.622282","-73.987543","SEAT.2023.0394","Mapleton-Midwood (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.75519941473176 40.70651383996071)","4","Queens","412","27","33","14","5",,"202-13 Hollis Avenue","Hollis Avenue","202 Street","203 Avenue",,"2013-02-20T00:00:00.000","Color: Silver (BB1-2013-0431)","BACKED 1.0","40.7065221","-73.75520078","SEAT.2013.0118","Hollis","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.99771355706818 40.66421075247691)","3","Brooklyn","307","38","51","26","10",,"678 3 Avenue","3 Avenue","20 Street","21 Street","W","2025-09-26T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.664219","-73.997715","SEAT.2025.0559","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.90317157545942 40.851893712748435)","2","Bronx","205","15","86","32","15",,"212 E Burnside Avenue","E Burnside Avenue","Grand Concourse","Anthony Avenue","S","2024-03-06T00:00:00.000","Color: Leaning Bar (LB-EMP2016-0044)","LEANING BAR","40.851902","-73.903173","SEAT.2023.0722","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92662457028099 40.8182937197747)","2","Bronx","201","17","84","29","15",,"500 Grand Concourse","E 149 Street","Grand Concourse","Anthony J. Griffin Place","S","2024-03-06T00:00:00.000","Color: Leaning Bar (LB-EMP2016-0012)","LEANING BAR","40.818302","-73.926626","SEAT.2024.0013","Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9156815736292 40.83036871778134)","2","Bronx","204","16","77","32","15",,"272 E 166 Street","Morris Avenue","E 165 Street","E 166 Street","E","2025-03-20T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.830377","-73.915683","SEAT.2024.0398","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.7441766349194 40.71640973341076)","4","Queens","413","23","33","11","5",,"213-23 Jamaica Avenue","Jamaica Avenue","214 Street","213 Street","N","2024-04-08T00:00:00.000","Color: Silver ()","BACKLESS 2.0","40.716418","-73.744178","SEAT.2024.0048","Queens Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9008155772695 40.84831771334585)","2","Bronx","205","15","86","32","15",,"1930 Webster Avenue","Webster Avenue","E 178 Street","E Tremont Avenue","W","2019-05-01T00:00:00.000","Color: Silver (BB2-2019-0725)","BACKED 2.0","40.848326","-73.900817","SEAT.2019.0118","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91869458401392 40.63425575604745)","3","Brooklyn","318","46","59","19","8",,"6565 Flatlands Avenue","Ralph Avenue","Flatlands Avenue","Glenwood Road","E","2025-04-09T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.634264","-73.918696","SEAT.2024.0096","Canarsie","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-74.00655554946083 40.74878773695742)","1","Manhattan","104","3","75","47","12",,"601 W 23 Street","W 23 Street","10 Avenue","11 Avenue","N","2025-05-31T00:00:00.000","Color: Black ()","BACKED 2.0","40.748796","-74.006557","SEAT.2025.0065","Chelsea-Hudson Yards","AE",,"1"
"POINT (-73.87013150859195 40.73385034372734)","4","Queens","404","25","39","13","6",,"90-15 Queens Boulevard","59 Avenue","57 Avenue","59 Avenue",,"2014-08-04T00:00:00.000","Color: Silver (BB1-2014-1296)","BACKED 1.0","40.73385861","-73.87013292","SEAT.2014.0226","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.88937358092907 40.8446357136694)","2","Bronx","206","15","79","32","15",,"751 E Tremont Avenue","E Tremont Avenue","Prospect Avenue","Clinton Avenue","N","2025-05-09T00:00:00.000","Color: Leaning Bar ()","LEANING BAR","40.844644","-73.889375","SEAT.2025.0142","Tremont","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.86277858744799 40.88374170517705)","2","Bronx","212","12","83","36","15",,"3801 White Plains Road","White Plains Road","E 220 Street","E 219 Street","W","2025-03-20T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.88375","-73.86278","SEAT.2024.0393","Williamsbridge-Olinville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94726157467007 40.64093675526487)","3","Brooklyn","317","45","42","21","9",,"3102 Avenue D","Avenue D","E 31 Street","E 32 Street","S","2025-04-17T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.640945","-73.947263","SEAT.2024.0125","East Flatbush-Farragut","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95590167612839 40.764158035630565)","1","Manhattan","108","5","76","28","12",,"1275 York Avenue","York Avenue","E 67 Street","E 68 Street","W","2016-04-13T00:00:00.000","Color: Silver (BB1-2016-2257)","BACKED 1.0","40.7641663","-73.95590311","SEAT.2016.0004","Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.87314280114808 40.75123637115859)","4","Queens","403","21","34","13","14",,"3551 94 Street","94 Street","35 Avenue","37 Avenue",,"2018-02-06T00:00:00.000","Color: Silver (BB1-2018-0370)","BACKED 1.0","40.75124464","-73.87314421","SEAT.2018.0064","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93404916868812 40.84935250294362)","1","Manhattan","112","10","72","31","13",,"600 W 181 Street","W 181 Street","Wadsworth Avenue","St. Nicholas Avenue","S","2021-05-17T00:00:00.000","Color: Leaning Bar ()","LEANING BAR","40.84936079","-73.9340506","SEAT.2020.0005","Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.96365282608457 40.76761373230316)","1","Manhattan","108","4","73","28","12",,"139 E 68th Street","E 68 Street","Lexington Avenue","3 Avenue","S","2015-02-05T00:00:00.000","Color: Silver (BL1-2015-1407)","BACKLESS 1.0","40.767622","-73.96365426","SEAT.2015.0087","Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94249335904178 40.665404413090414)","3","Brooklyn","309","35","43","20","9",,"389 Kingston Avenue","Kingston Avenue","Crown Street","Montgomery Street","E","2013-06-21T00:00:00.000","Color: Silver (BB2-Unkn-06)","BACKED 2.0","40.66541266","-73.94249478","SEAT.2013.0305","Crown Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91566058204435 40.68563874604865)","3","Brooklyn","316","41","55","25","8",,"960 Halsey Street","Halsey Street","Saratoga Avenue","Broadway","S","2025-05-06T00:00:00.000","Color: Black ()","BACKED 2.0","40.685647","-73.915662","SEAT.2024.0554","Ocean Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98082655627546 40.767483732066424)","1","Manhattan","105","6","75","28","12",,"240 Central Park S","Central Park S","Broadway","7 Avenue","S","2025-10-14T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.767492","-73.980828","SEAT.2025.0622","Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93213855067141 40.65172076269948)","3","Brooklyn","317","41","58","20","9",,"4805 Church Avenue","Church Avenue","E 49 Street","E 48 Street","N","2012-07-18T00:00:00.000","Color: Silver (BL1-2012-0160)","BACKLESS 1.0","40.65172901","-73.93213997","SEAT.2012.0085","East Flatbush-Rugby","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.00297955687628 40.63469616800723)","3","Brooklyn","312","44","48","22","10",,"5613 Fort Hamilton Pkwy","Fort Hamilton Parkway","57 Street","58 Street",,"2018-01-03T00:00:00.000","Color: Silver (BB2-2018-0406)","BACKED 2.0","40.63470441","-74.002981","SEAT.2018.0008","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.96059655990075 40.81823072179251)","1","Manhattan","109","7","70","30","13",,"2286 12 Avenue","W 125 Street","12 Avenue","Marginal Street","N","2016-07-26T00:00:00.000","Color: Silver (BB2-2016-1786)","BACKED 1.0","40.818239","-73.960598","SEAT.2016.0225","Manhattanville-West Harlem","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.97311256397435 40.67773674976959)","3","Brooklyn","306","39","52","20","10",,"7 Avenue","7 Avenue","Park Place","Flatbush Avenue","E",,"Color: Silver ()","BACKED 2.0","40.677745","-73.973114","SEAT.2026.0622","Prospect Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.89776189101408 40.82962537186406)","2","Bronx","203","17","79","32","15",,"821 E 169 Street","E 169 Street","E 169 Street","Freeman Street","N","2015-08-06T00:00:00.000","Color: Silver (BB1-2015-1985)","BACKED 1.0","40.82963366","-73.89776331","SEAT.2015.0135","Morrisania","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98165856701904 40.57709598266228)","3","Brooklyn","313","47","46","23","8",,"1403 Mermaid Avenue","Stillwell Avenue","W 15 Street","Stillwell Avenue","W","2014-07-02T00:00:00.000","Color: Silver (BB1-2014-0946)","BACKED 1.0","40.57710421","-73.98166","SEAT.2014.0174","Coney Island-Sea Gate","AE",,"1"
"POINT (-73.82725960044675 40.851907710200656)","2","Bronx","210","13","82","34","14",,"3669 Amendola Place","Bruckner Boulevard","Westchester Avenue","Wilkinson Avenue","W","2017-03-11T00:00:00.000","Color: Silver (BL2-2017-0045)","BACKLESS 2.0","40.851916","-73.827261","SEAT.2017.0059","Pelham Bay-Country Club-City Island","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.95096557083413 40.68984874572807)","3","Brooklyn","303","36","56","25","8",,"585 Lafayette Avenue","Lafayette Avenue","Norstrand Avenue","Marcy Avenue","S","2023-08-09T00:00:00.000","Color: Black (BL2-2023-1446)","BACKLESS 2.0","40.689857","-73.950967","SEAT.2023.0449","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.77460062560192 40.71474573501829)","4","Queens","412","23","29","11","5",,"187-16 Hillside Avenue","Hillside Avenue","187 Street","187 Place","S","2025-09-25T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.714754","-73.774602","SEAT.2025.0603","Hollis","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9830973859454 40.665203585118185)","3","Brooklyn","306","39","44","20","10",,"390 7 Avenue","7 Avenue","11 Street","12 Street",,"2013-05-09T00:00:00.000","Color: Silver (BB1-2013-0512)","BACKED 1.0","40.66521183","-73.98309882","SEAT.2013.0251","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92842158199277 40.61454376033137)","3","Brooklyn","318","46","59","21","8",,"2270 Flatbush Avenue","Fillmore Avenue","Flatbush Avenue","Hendrickson Street","N","2023-09-11T00:00:00.000","Color: Black (BL2-2023-1295)","BACKLESS 2.0","40.614552","-73.928423","SEAT.2023.0771","Marine Park-Mill Basin-Bergen Beach","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.87007986836728 40.73628426726459)","4","Queens","404","25","39","13","6",,"56-50 92 Street","92 Street","56 Avenue","57 Avenue","W","2018-02-14T00:00:00.000","Color: Silver (BL2-2018-0443)","BACKLESS 2.0","40.73629253","-73.87008128","SEAT.2018.0081","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.93778664109432 40.82284288264402)","1","Manhattan","110","9","71","30","13",,"2541 Adam Clayton Powell Boulevard","W 147 Street","Lenox Avenue","Adam Clayton Powell Boulevard","N","2015-01-26T00:00:00.000","Color: Silver (BL1-2015-1064)","BACKLESS 1.0","40.82285116","-73.93778807","SEAT.2015.0062","Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.88299154276297 40.743053584765285)","4","Queens","404","25","39","13","6",,"81-25 Broadway","Broadway","Pettit Avenue","Britton Avenue","N","2015-01-29T00:00:00.000","Color: Silver (BB1-2015-1922)","BACKED 1.0","40.74306185","-73.88299295","SEAT.2015.0069","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.940118564556 40.83958471674092)","1","Manhattan","112","10","72","31","13",,"1121 St Nicholas Avenue","W 166 Street","Broadway","St Nicholas Avenue","S","2023-09-20T00:00:00.000","Color: Black (BL2-2023-1556)","BACKLESS 2.0","40.839593","-73.94012","SEAT.2023.0812","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93393256551879 40.853990713037426)","1","Manhattan","112","10","72","31","13",,"4365 Broadway","Broadway","W 187 Street","W 186 Street","W","2023-06-06T00:00:00.000","Color: Leaning Bar (LB-EMP2018-0056)","LEANING BAR","40.853999","-73.933934","SEAT.2023.0106","Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92894557356409 40.76379173123431)","4","Queens","401","22","36","59","14",,"23-35 Broadway","Broadway","Crescent Street","23 Street","N","2025-02-26T00:00:00.000","Color: Black ()","BACKED 2.0","40.7638","-73.928947","SEAT.2025.0025","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.88028558243806 40.87496770751637)","2","Bronx","207","11","80","33","15",,"261 E 206 Street","E 206 Street","Bainbridge Avenue","Rochambeau Avenue","N","2023-09-27T00:00:00.000","Color: Black (BL2-2023-1312)","BACKLESS 2.0","40.874976","-73.880287","SEAT.2023.0759","Norwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92339761134697 40.68714383386533)","3","Brooklyn","303","41","56","25","8",,"951 Putnam Avenue","Putnam Avenue","Ralph Avenue","Madison Street","N","2017-08-23T00:00:00.000","Color: Silver (BB1-2017-0250)","BACKED 1.0","40.68715209","-73.92339903","SEAT.2017.0226","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90791104951742 40.7712290223681)","4","Queens","401","22","34","12","14",,"22-73 Steinway Street","Steinway Street","23 Avenue","Ditmars Boulevard","E","2018-04-26T00:00:00.000","Color: Silver (BL2-2018-0238)","BACKLESS 2.0","40.77123729","-73.90791247","SEAT.2018.0098","Astoria (North)-Ditmars-Steinway","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93723656607371 40.8396037166469)","1","Manhattan","112","10","72","31","13",,"2172 Amsterdam Avenue","Amsterdam Avenue","W 168 Street","W 167 Street","E","2023-09-20T00:00:00.000","Color: Black (BL2-2023-1362)","BACKLESS 2.0","40.839612","-73.937238","SEAT.2023.0828","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.77297044926085 40.76756762441102)","4","Queens","411","19","26","16","3",,"36-01 Bell Boulevard","Bell Boulevard","38 Avenue","36 Avenue","E","2013-01-25T00:00:00.000","Color: Silver (BB1-2013-0355)","BACKED 1.0","40.7675759","-73.77297183","SEAT.2013.0059","Bayside","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92655458278188 40.61461276021514)","3","Brooklyn","318","46","59","21","8",,"4901 Fillmore Avenue","Utica Avenue","Avenue N","Fillmore Avenue","W","2025-06-03T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.614621","-73.926556","SEAT.2025.0299","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.99737347019986 40.679105861756845)","3","Brooklyn","306","39","52","26","10",,"415 Court Street","Court Street","2 Place","3 Place",,"2018-01-12T00:00:00.000","Color: Silver (BB2-2018-0503)","BACKED 2.0","40.67911411","-73.99737491","SEAT.2018.0027","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.16776637961024 40.62745797363411)","5","Staten Island","501","49","63","23","11",,"2324 Forest Avenue","Forest Avenue","South Avenue","Lilac Street/Unsure","S","2013-05-01T00:00:00.000","Color: Silver (BB1-2013-0538)","BACKED 1.0","40.62746621","-74.16776788","SEAT.2013.0234","Mariner's Harbor-Arlington-Graniteville","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.81490329781109 40.702216826340226)","4","Queens","412","24","24","14","5",,"137-50 Jamaica Avenue","138 Street","90 Avenue","Jamaica Avenue",,"2013-08-05T00:00:00.000","Color: Silver (BB1-2013-0709)","BACKED 1.0","40.70222509","-73.81490468","SEAT.2013.0357","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94127319128175 40.6512780064126)","3","Brooklyn","317","40","58","20","9",,"3823 Church Avenue","Church Avenue","E 39 Street","E 38 Street","N","2012-07-17T00:00:00.000","Color: Silver (BL1-2012-0147)","BACKLESS 1.0","40.65128625","-73.94127461","SEAT.2012.0079","East Flatbush-Rugby","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94516956272297 40.58382366876079)","3","Brooklyn","315","48","45","23","8",,"2235 Emmons Avenue","Emmons Avenue","Dooley Street","E 21 Street","N","2013-09-18T00:00:00.000","Color: Silver (BL1-2013-1012)","BACKLESS 1.0","40.5838319","-73.94517098","SEAT.2013.0417","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.98163555691704 40.74729673583415)","1","Manhattan","106","4","73","28","12",,"61 E 34 Street","E 34 Street","Park Avenue","Madison Avenue","N","1900-01-01T00:00:00.000","Color: Leaning Bar (LB-EMP2019-0033)","LEANING BAR","40.747305","-73.981637","SEAT.1900.0030","Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.86770845880581 40.72240800859346)","4","Queens","405","30","28","15","6",,"63-76 Woodhaven Boulevard","Woodhaven Boulevard","Penelope Avenue","Fleet Court","W","2019-01-29T00:00:00.000","Color: Leaning Bar (LB-Unkn-029)","LEANING BAR","40.72241627","-73.86770986","SEAT.2019.0014","Middle Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92493457111242 40.81395072100355)","2","Bronx","201","8","84","29","15",,"300 Morris Avenue","Morris Avenue","E 139 Street","E 143 Street","E","2025-03-18T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.813959","-73.924936","SEAT.2024.0422","Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.82143503224742 40.69063492427628)","4","Queens","409","29","24","15","5",,"101-33 124 Street","124 Street","101 Avenue","108 Avenue","E","2016-05-19T00:00:00.000","Color: Silver (BB1-2016-1853)","BACKED 1.0","40.69064318","-73.82143642","SEAT.2016.0037","South Richmond Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.76968766947316 40.76054638362051)","4","Queens","411","19","26","16","6",,"213-17 Northern Blvd","Bell Boulevard","43 Avenue","Northern Boulevard","W","2013-01-30T00:00:00.000","Color: Silver (BB1-2013-0883)","BACKED 1.0","40.76055466","-73.76968905","SEAT.2013.0077","Bayside","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.11145252663013 40.568611775618315)","5","Staten Island","502","50","64","24","11",,"2586-2598 Hylan Boulevard","Hylan Boulevard","Beach Avenue","Ross Avenue","E","2023-12-05T00:00:00.000","Color: Silver (BB2-2023-0740)","BACKED 2.0","40.56862","-74.111454","SEAT.2023.0525","New Dorp-Midland Beach","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-74.00660955490302 40.65498775525024)","3","Brooklyn","307","38","51","26","10",,"951 3 Avenue","3 Avenue","37 Street","36 Street","E","2025-02-21T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.654996","-74.006611","SEAT.2024.0647","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.9755290171793 40.78992981025248)","1","Manhattan","107","6","67","47","12",,"2401 Broadway","Broadway","W 89 Street","W 88 Street","W","2019-04-11T00:00:00.000","Color: Silver (BB2-2019-0445)","BACKED 2.0","40.78993808","-73.97553046","SEAT.2019.0069","Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93680057695958 40.66663274980542)","3","Brooklyn","309","35","43","20","9",,"341 Troy Avenue","Troy Avenue","Carroll Street","President Street","E","2025-02-20T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.666641","-73.936802","SEAT.2025.0010","Crown Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.97643886887835 40.61538538211826)","3","Brooklyn","312","44","48","22","9",,"2298 60 Street","60 Street","Bay Parkway","23 Avenue","S","2014-07-03T00:00:00.000","Color: Silver (BL2-2017-0359)","BACKLESS 1.0","40.61539362","-73.9764403","SEAT.2014.0175","Mapleton-Midwood (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90692753527523 40.88007712579611)","2","Bronx","208","11","81","31","13",,"265 W 231 Street","231 Street","Kingsbridge Road","Corlear Avenue","N","2013-03-27T00:00:00.000","Color: Silver (BL1-2013-0519)","BACKLESS 1.0","40.88008542","-73.90692896","SEAT.2013.0175","Kingsbridge-Marble Hill","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96195956868546 40.65454875347989)","3","Brooklyn","314","40","42","21","9",,"350 Ocean Avenue","Ocean Avenue","Parkside Avenue","Woodruff Avenue","W","2025-02-20T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.654557","-73.961961","SEAT.2025.0012","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.95558580429791 40.6206988059395)","3","Brooklyn","314","44","41","22","9",,"1690 Ocean Avenue","Ocean Avenue","Avenue L","Avenue M","W","2014-03-05T00:00:00.000","Color: Silver (BL1-Unkn-0061)","BACKLESS 1.0","40.62070705","-73.95558723","SEAT.2014.0054","Midwood","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98196655792188 40.72778673960656)","1","Manhattan","103","2","74","27","10",,"295 E 10 Street","E 10 Street","Avenue B","Avenue A","N","2026-01-14T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.727795","-73.981968","SEAT.2025.0715","East Village","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.94957069314 40.650086667987765)","3","Brooklyn","317","40","42","21","9",,"1480 Nostrand Avenue","Nostrand Avenue","Church Avenue","Erasmus Street",,"2014-11-28T00:00:00.000","Color: Silver (BB1-2014-1724)","BACKED 1.0","40.65009491","-73.94957212","SEAT.2014.0347","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9789606882644 40.642894632601845)","3","Brooklyn","312","39","44","17","9",,"114 Beverley Road","Beverley Road","Church Avenue","E 2 Street","S","2012-05-30T00:00:00.000","Color: Silver (BB1-2012-0024)","BACKED 1.0","40.64290288","-73.97896212","SEAT.2012.0036","Kensington","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93869922637838 40.8218360737266)","1","Manhattan","110","9","71","30","13",,"2505 Adam Clayton Powell Jr. Boulevard","Adam Clayton Powell, Jr. Boulevard","W 145 Street","W 146 Street","E","2013-12-06T00:00:00.000","Color: Silver (BL1-2013-2004)","BACKLESS 1.0","40.82184435","-73.93870066","SEAT.2013.0518","Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.91857154671514 40.69888492144297)","3","Brooklyn","304","37","53","18","7",,"452 Knickerbocker Avenue","Knickerbocker Avenue","Greene Avenue","Myrtle Avenue","S","2015-06-19T00:00:00.000","Color: Silver (BB1-2015-9000)","BACKED 1.0","40.69889318","-73.91857297","SEAT.2015.0126","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.993548557061 40.69286674674812)","3","Brooklyn","302","33","52","26","10",,"142 Joralemon Street","Joralemon Street","Clinton Street","Sidney Place","S","2019-06-06T00:00:00.000","Color: Silver (BB2-2019-0501)","BACKED 2.0","40.692875","-73.99355","SEAT.2019.0101","Brooklyn Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9523089154142 40.694491142905164)","3","Brooklyn","303","36","56","25","8",,"1 Vernon Avenue","Nostrand Avenue","Myrtle Avenue","Vernon Avenue","E","2013-07-10T00:00:00.000","Color: Silver (BB1-2013-0746)","BACKED 1.0","40.6944994","-73.95231035","SEAT.2013.0327","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","6"
