"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"175539","40.72817512","-73.97886165","12","ginkgo","Poor"
"206483","40.73993891","-73.98196044","10","ginkgo","Good"
"175543","40.7284325","-73.97867495","12","ginkgo","Good"
"202190","40.70624547","-74.00626875","3","honeylocust","Good"
"206484","40.73991127","-73.98189476","13","ginkgo","Poor"
"175544","40.72850291","-73.97862388","2","ginkgo","Good"
"202191","40.70628634","-74.00632368","3","honeylocust","Good"
"198334","40.74429703","-73.980503","9","pin oak","Fair"
"177230","40.73655558","-73.97892756","16","pin oak","Good"
"205164","40.73792599","-73.97758097","3","Japanese zelkova","Good"
"174306","40.72319627","-73.98572242","10",,
"160749","40.73053656","-73.98612566","13","Japanese zelkova","Good"
"177229","40.73640176","-73.97903909","5","pin oak","Good"
"173660","40.73656785","-74.00368752","16","red maple","Poor"
"204950","40.73625863","-73.97518723","0",,
"171577","40.72739078","-73.97518559","3","pin oak","Good"
"206578","40.73873535","-73.98074702","4","pin oak","Good"
"171578","40.72732958","-73.97504043","5",,
"198333","40.74436464","-73.98066375","0",,
"211688","40.72970427","-74.00421652","7","Japanese zelkova","Good"
"194293","40.72033115","-73.98158498","10","English oak","Good"
"171582","40.726892","-73.9740025","3","pin oak","Good"
"211689","40.729685","-74.00427789","7",,
"160784","40.72893866","-73.97915741","11","northern red oak","Good"
"173658","40.73636819","-74.00363122","14","red maple","Good"
"177231","40.73662528","-73.97887703","2","pin oak","Good"
"174304","40.72332943","-73.98562518","10",,
"206431","40.73839561","-73.97992413","7","Japanese zelkova","Poor"
"171579","40.72714611","-73.97460525","4","English oak","Good"
"171663","40.72745211","-73.97649755","9","pin oak","Good"
"168062","40.72507263","-73.97919872","2","Sophora","Good"
"195531","40.73514179","-74.00011701","18","Sophora","Good"
"179912","40.72113401","-73.99215403","8","ginkgo","Good"
"182370","40.7467481","-73.99590873","8","honeylocust","Good"
"205165","40.73787788","-73.97761646","3","Japanese zelkova","Good"
"206433","40.73846881","-73.98010059","8","Japanese zelkova","Good"
"202089","40.72721354","-73.99134246","12","Chinese elm","Poor"
"174079","40.71077489","-74.00081369","9","honeylocust","Good"
"206701","40.73940964","-73.97881747","8","American linden","Good"
"194706","40.73764782","-74.00145902","9","pin oak","Fair"
"175541","40.72828687","-73.97878059","11","ginkgo","Good"
"197451","40.74341879","-73.98033785","14","honeylocust","Fair"
"173661","40.73671653","-74.00372944","3",,
"206426","40.7382638","-73.97942137","11","honeylocust","Good"
"206428","40.73831882","-73.97957384","8","honeylocust","Good"
"206371","40.73868985","-73.98089163","4","honeylocust","Good"
"206372","40.73872273","-73.98096999","10","ginkgo","Good"
"206379","40.73922333","-73.9821631","10","honeylocust","Good"
"190775","40.71523135","-73.99651124","5","cherry","Good"
"175540","40.72823063","-73.97882138","10","ginkgo","Fair"
"201418","40.72237077","-73.99071308","3","cherry","Fair"
"202108","40.72592106","-73.98708617","3",,
"190779","40.71534244","-73.99644451","4","cherry","Good"
"171623","40.72794529","-73.97589493","10","honeylocust","Fair"
"176448","40.73908694","-73.97773148","8","green ash","Good"
"206373","40.73883966","-73.98124867","2","American linden","Good"
"206377","40.73913132","-73.98194381","7","honeylocust","Good"
"171622","40.72785545","-73.97596021","3","honeylocust","Good"
"206698","40.73960451","-73.97928443","8","honeylocust","Good"
"168028","40.71834489","-73.9855059","3","green ash","Good"
"206427","40.73829652","-73.9795023","7","honeylocust","Good"
"171624","40.72804017","-73.97582598","3","honeylocust","Good"
"202047","40.72726708","-73.99026683","14","ginkgo","Poor"
"206764","40.73782503","-73.97799906","8","ginkgo","Fair"
"206507","40.73896089","-73.97964232","7","honeylocust","Good"
"191382","40.72192164","-73.98530844","12","white ash","Good"
"192500","40.73524905","-74.0009192","8","green ash","Good"
"173634","40.73607823","-74.00383851","21","green ash","Good"
"174086","40.71043504","-74.00106883","9","honeylocust","Good"
